,UNKNOWN,AAK1,ABL1-nonphosphorylated,ABL1-phosphorylated,ABL2,ACVR1,ACVR1B,ACVR2A,ACVR2B,ACVRL1,ADCK3,ADCK4,AKT1,AKT2,AKT3,ALK,AMPK-alpha1,AMPK-alpha2,ANKK1,ARK5,ASK1,ASK2,AURKA,AURKB,AURKC,AXL,BIKE,BLK,BMPR1A,BMPR1B,BMPR2,BMX,BRAF,BRK,BRSK1,BRSK2,BTK,CAMK1,CAMK1D,CAMK1G,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CASK,CDC2L1,CDC2L2,CDC2L5,CDK11,CDK2,CDK3,CDK4-cyclinD1,CDK4-cyclinD3,CDK5,CDK7,CDK8,CDK9,CDKL1,CDKL2,CDKL3,CDKL5,CHEK1,CHEK2,CIT,CLK1,CLK2,CLK3,CLK4,CSF1R,CSK,CSNK1A1,CSNK1A1L,CSNK1D,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,CSNK2A1,CSNK2A2,CTK,DAPK1,DAPK2,DAPK3,DCAMKL1,DCAMKL2,DCAMKL3,DDR1,DDR2,DLK,DMPK,DMPK2,DRAK1,DRAK2,DYRK1A,DYRK1B,DYRK2,EGFR,EIF2AK1,EPHA1,EPHA2,EPHA3,EPHA4,EPHA5,EPHA6,EPHA7,EPHA8,EPHB1,EPHB2,EPHB3,EPHB4,EPHB6,ERBB2,ERBB3,ERBB4,ERK1,ERK2,ERK3,ERK4,ERK5,ERK8,ERN1,FAK,FER,FES,FGFR1,FGFR2,FGFR3,FGFR4,FGR,FLT1,FLT3,FLT4,FRK,FYN,GAK,"GCN2(Kin.Dom.2,S808G)",GRK1,GRK4,GRK7,GSK3A,GSK3B,HCK,HIPK1,HIPK2,HIPK3,HIPK4,HPK1,HUNK,ICK,IGF1R,IKK-alpha,IKK-beta,IKK-epsilon,INSR,INSRR,IRAK1,IRAK3,IRAK4,ITK,JAK1(JH1domain-catalytic),JAK1(JH2domain-pseudokinase),JAK2(JH1domain-catalytic),JAK3(JH1domain-catalytic),JNK1,JNK2,JNK3,KIT,LATS1,LATS2,LCK,LIMK1,LIMK2,LKB1,LOK,LRRK2,LTK,LYN,LZK,MAK,MAP3K1,MAP3K15,MAP3K2,MAP3K3,MAP3K4,MAP4K2,MAP4K3,MAP4K4,MAP4K5,MAPKAPK2,MAPKAPK5,MARK1,MARK2,MARK3,MARK4,MAST1,MEK1,MEK2,MEK3,MEK4,MEK5,MEK6,MELK,MERTK,MET,MINK,MKK7,MKNK1,MKNK2,MLCK,MLK1,MLK2,MLK3,MRCKA,MRCKB,MST1,MST1R,MST2,MST3,MST4,MTOR,MUSK,MYLK,MYLK2,MYLK4,MYO3A,MYO3B,NDR1,NDR2,NEK1,NEK11,NEK2,NEK3,NEK4,NEK5,NEK6,NEK7,NEK9,NIM1,NLK,OSR1,p38-alpha,p38-beta,p38-delta,p38-gamma,PAK1,PAK2,PAK3,PAK4,PAK6,PAK7,PCTK1,PCTK2,PCTK3,PDGFRA,PDGFRB,PDPK1,PFCDPK1(P.falciparum),PFPK5(P.falciparum),PFTAIRE2,PFTK1,PHKG1,PHKG2,PIK3C2B,PIK3C2G,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIK4CB,PIM1,PIM2,PIM3,PIP5K1A,PIP5K1C,PIP5K2B,PIP5K2C,PKAC-alpha,PKAC-beta,PKMYT1,PKN1,PKN2,PKNB(M.tuberculosis),PLK1,PLK2,PLK3,PLK4,PRKCD,PRKCE,PRKCH,PRKCI,PRKCQ,PRKD1,PRKD2,PRKD3,PRKG1,PRKG2,PRKR,PRKX,PRP4,PYK2,QSK,RAF1,RET,RIOK1,RIOK2,RIOK3,RIPK1,RIPK2,RIPK4,RIPK5,ROCK1,ROCK2,ROS1,RPS6KA4(Kin.Dom.1-N-terminal),RPS6KA4(Kin.Dom.2-C-terminal),RPS6KA5(Kin.Dom.1-N-terminal),RPS6KA5(Kin.Dom.2-C-terminal),RSK1(Kin.Dom.1-N-terminal),RSK1(Kin.Dom.2-C-terminal),RSK2(Kin.Dom.1-N-terminal),RSK3(Kin.Dom.1-N-terminal),RSK3(Kin.Dom.2-C-terminal),RSK4(Kin.Dom.1-N-terminal),RSK4(Kin.Dom.2-C-terminal),S6K1,SBK1,SgK110,SGK3,SIK,SIK2,SLK,SNARK,SNRK,SRC,SRMS,SRPK1,SRPK2,SRPK3,STK16,STK33,STK35,STK36,STK39,SYK,TAK1,TAOK1,TAOK2,TAOK3,TBK1,TEC,TESK1,TGFBR1,TGFBR2,TIE1,TIE2,TLK1,TLK2,TNIK,TNK1,TNK2,TNNI3K,TRKA,TRKB,TRKC,TRPM6,TSSK1B,TTK,TXK,TYK2(JH1domain-catalytic),TYK2(JH2domain-pseudokinase),TYRO3,ULK1,ULK2,ULK3,VEGFR2,VRK2,WEE1,WEE2,YANK1,YANK2,YANK3,YES,YSK1,YSK4,ZAK,ZAP70
A-674563,100,92.08,0,0,0,0,0,0,0,0,0,0,86.81,14.71,73.53,0,0,0,0,0,0,0,0,0,5.62,0,80.65,0,0,0,0,0,0,0,0,0,0,0,17.24,0,60.98,34.01,64.94,35.97,41.32,38.17,40.32,0,0,0,13.89,27.78,0,15.63,0,0,0,87.72,12.5,73.53,0,41.67,31.25,71.43,0,4.85,97.47,99.72,99.9,75.76,99.89,0,0,19.23,9.8,70.42,80.65,48.54,56.82,35.46,8.33,11.63,0,23.81,16.67,29.41,0,0,0,0,0,0,84.46,52.08,8.77,8.77,99.58,99.23,88.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.89,0,0,0,0,0,0,0,0,0,0,48.08,0,0,0,73.53,0,0,26.32,20.83,11.36,58.82,0,68.49,69.44,81.97,39.68,0,0,47.62,0,0,0,0,0,0,13.89,0,16.67,0,0,0,0,25,0,0,0,0,31.25,44.64,0,0,0,0,0,20.83,0,0,0,0,0,0,0,0,0,20.83,0,78.13,0,0,0,0,0,0,0,0,0,0,29.41,0,0,0,45.87,0,0,83.33,0,0,12.82,55.56,0,0,0,56.82,84.03,0,0,8.47,0,0,0,0,36.5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,33.78,39.68,42.74,25,20.83,6.1,0,0,0,0,0,19.23,38.76,29.41,16.13,0,0,0,0,0,0,8.77,73.53,69.44,78.13,66.67,0,22.73,0,89.93,84.75,0,70.42,45.87,0,0,0,0,0,94.88,97.85,98.14,0,97.66,0,0,33.33,64.94,96.34,15.15,83.75,9.8,0,0,0,0,44.64,8.62,42.02,0,0,0,0,93.11,0,0,0,13.51,0,15.15,0,0,0,0,0,0,0,12.2,0,0,8.93,0,0,0,10.64,0,0,0,47.62,31.25,25,0,69.44,0,0,0,0,43.86,51.55,9.26,31.25,0,0,0,0,0,0,0,0,0,78.13,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,7.69,0,0,11.11,0,0,0,0,0,0,0,68.49,0,0
Afatinib (BIBW2992),3.47826087,0,27.78,46.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.62,0,69.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.71,0,0,0,0,0,0,0,0,0,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.86,0,34.01,15.15,21.74,99.95,0,0,0,0,0,0,59.52,0,0,0,0,0,0,13.89,99.01,10,98.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.32,0,86.36,0,0,0,0,0,0,18.52,0,0,0,58.14,0,0,0,0,0,0,0,0,0,67.57,0,0,0,0,0,0,0,0,19.23,20,0,0,0,46.73,0,0,0,10.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.78,0,0,0,18.52,0,0,21.74,23.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.78,51.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,0,9.43,0,0,0,0,11.9,0,0,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AST-487,5.652173913,0,99.86,97.47,99.32,0,0,0,26.32,0,0,0,0,0,0,26.32,26.32,0,44.25,0,0,5.88,0,10.2,40.32,46.73,0,94.34,0,0,0,8.06,22.73,0,0,0,0,14.29,10.2,0,0,0,0,0,11.9,69.44,69.44,0,26.32,31.25,99.81,99.7,52.63,78.13,27.78,44.25,47.62,99.09,99.72,72.46,97.47,99.9,99.23,98.7,0,58.14,90.58,81.97,21.74,8.33,63.29,98.85,17.86,0,0,16.67,11.11,33.33,34.48,83.75,0,0,27.78,0,0,13.51,0,0,0,99.86,97.85,16.67,0,0,0,0,0,0,70.42,49.02,0,8.47,75.76,86.21,55.56,78.13,56.82,31.25,96.53,73.53,79.37,0,0,0,0,0,0,0,0,0,0,0,84.18,7.69,0,45.87,58.14,44.64,20.83,11.36,26.32,72.46,85.32,99.84,80.65,95.06,90.91,27.78,0,0,0,0,5.56,0,36.23,74.63,98.56,99.21,99.23,70.42,0,16.67,0,92.42,81.97,0,18.52,26.32,79.37,0,0,33.56,87.11,0,35.46,65.79,52.08,89.93,39.68,98.93,51.55,14.29,97.85,39.37,21.74,0,99.82,34.48,75.76,97.28,40.32,33.33,21.74,0,17.86,0,0,83.33,72.46,97.09,58.82,0,0,0,0,0,0,0,0,0,18.52,33.33,87.11,0,37.59,57.47,10.2,98.46,94.88,95.06,99.4,0,0,0,11.11,0,0,14.29,51.02,36.76,27.78,0,0,99.38,0,60.24,0,92.42,85.62,0,19.23,8.77,0,0,0,52.08,31.25,16.67,0,21.74,0,75.76,0,87.26,53.76,97.47,94.52,0,0,11.11,0,0,0,54.35,97.09,90.25,94.88,98.41,0,98.33,0,85.62,96.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,65.79,0,0,0,0,0,0,5.81,0,0,0,0,0,18.52,29.41,34.48,25,0,0,31.25,10.2,0,49.02,0,34.97,96.71,0,47.62,0,70.42,31.25,73.53,58.14,25,56.18,22.73,20.83,0,40.65,0,0,0,0,0,31.25,0,12.82,80.65,0,0,76.92,22.73,0,95.6,0,0,59.52,87.41,0,0,0,0,29.41,96.9,27.78,25,45.45,99.7,94.52,91.91,98.85,0,0,17.24,0,65.79,99.94,96.34,0,0,87.87,89.29,0,74.63,60.98,72.46,93.63,0,0,68.49,0,21.74,0,0,11.9,58.14,89.77,71.43,0,0,0,0,0,0,65.79,29.41,80.65,99.54,0
AT7519,30.86956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,95.42,98.35,98.97,99.36,13.16,94.34,89.29,96.15,97.66,41.67,99.44,0,98.85,0,33.33,0,99.48,0,0,0,33.56,22.73,57.47,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.13,31.25,0,0,0,31.25,0,0,0,80.65,63.29,8.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,80.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.6,97.85,0,0,0,0,0,0,0,98.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.78,99.81,97.28,0,0,0,0,0,88.97,96.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.37,90.91,89.77,0,0,0,0,0,0,0,17.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Axitinib (AG-013736),18.26086957,29.41,85.62,93.28,87.72,0,0,0,8.77,0,0,0,0,0,0,0,0,0,12.2,0,0,0,87.41,97.85,99.74,54.35,33.33,13.89,0,14.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.54,0,0,0,0,0,0,0,0,0,95.97,31.25,0,0,0,0,0,0,0,0,15.15,0,0,0,0,0,0,0,59.52,8.62,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.14,0,0,0,0,0,0,0,0,0,0,0,0,0,56.82,81.97,70.42,0,21.74,98.85,92.25,74.63,0,0,15.63,0,0,17.86,0,0,0,0,0,0,0,0,60.24,25,0,0,0,0,0,0,0,13.89,0,0,29.41,0,0,13.16,13.89,11.36,0,31.25,99.36,0,0,15.63,0,0,0,29.41,35.21,0,0,0,0,0,0,0,15.15,8.2,27.78,29.41,58.82,47.62,0,0,0,0,0,0,0,15.63,16.13,0,0,78.13,0,0,13.51,37.88,47.17,0,0,0,22.73,14.29,0,0,0,9.43,26.32,0,18.52,0,0,0,0,0,27.78,0,20.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8.62,0,0,99.9,99.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.63,0,0,0,0,96.9,0,0,0,0,0,0,0,0,0,0,6.33,0,0,0,0,0,80.65,29.41,0,33.33,16.67,4.81,26.32,0,0,0,13.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.23,0,33.33,27.78,0,0,0,21.74,0,17.86,57.47,0,0,0,0,0,0,0,0,0,0,0,10.42,0,0,83.75,61.73,0,0,73.53,75.76,7.69,0,21.74,0,0,0,0,11.36,17.24,12.2,0,0,0,4.81,42.74,98.83,0,0,0,0,0,0,15.63,0,64.94,16.13,0
Barasertib (AZD1152-HQPA),-5.652173913,14.29,25,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,55.56,99.09,99.13,56.18,0,25,0,0,0,0,0,0,0,0,29.41,0,0,0,0,0,0,0,0,0,0,0,29.41,33.33,31.25,0,0,0,0,0,0,7.46,0,0,0,29.41,0,0,0,26.32,8.06,0,0,0,0,26.32,11.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.74,7.04,0,0,0,0,0,0,0,0,52.63,25,0,0,0,0,0,0,0,0,0,0,0,0,90.91,10.42,0,51.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.97,98.39,14.71,0,0,0,0,0,0,0,0,0,11.36,0,11.9,16.67,83.75,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,0,0,0,96.71,0,0,56.82,0,0,0,15.15,0,13.51,23.81,0,0,0,0,0,0,0,0,0,0,75.76,0,0,0,0,0,0,0,20.83,10.64,0,0,99.44,0,0,0,0,0,0,0,29.41,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,92.94,92.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.21,0,0,0,0,21.74,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.15,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,0,0,9.8,0,0,43.48,0,0,0,0,0,0,0,0,58.82,20.83,0,0,5.56,0,0,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,50,0,0,0,0,0,0,11.63,0,17.24,22.73,0
BI 2536,-14.7826087,15.15,0,12.5,0,0,0,0,0,0,0,0,0,0,0,75.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47,0,27.78,10.64,17.24,29.41,0,95.79,95.6,0,0,0,0,0,0,0,0,20.83,0,12.5,0,0,0,0,0,0,0,6.1,8.77,34.72,52.08,44.25,0,0,0,13.89,0,25,56.82,10,8.06,17.24,0,0,0,48.08,34.97,79.37,7.81,0,0,0,0,0,14.71,0,0,0,0,0,0,18.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.51,0,0,76.92,0,20.83,0,0,0,0,0,0,0,0,0,0,73.53,0,0,0,37.04,0,0,0,10.87,14.71,12.2,20,0,4.9,0,0,0,0,0,0,0,20.83,0,19.23,0,0,0,0,0,0,0,31.25,0,0,0,0,0,0,0,9.26,0,29.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.89,17.24,23.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.75,0,0,7.35,12.5,0,0,0,0,20,40.98,0,0,0,7.58,0,39.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.81,0,0,0,0,6.17,0,0,0,0,0,0,0,0,81.97,0,0,0,0,0,0,99.96,99.84,99.21,0,0,0,0,0,0,60.98,49.5,58.82,0,0,52.08,0,0,61.73,0,0,0,18.52,0,10.2,0,0,0,0,0,0,0,0,97.66,0,64.94,8.47,0,0,0,41.67,0,27.78,0,0,0,0,0,0,10.87,0,0,0,0,0,0,0,31.25,31.25,0,0,0,9.62,0,0,0,22.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.02,0,0
BIRB 796 (Doramapimod),-1.739130435,0,38.46,0,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,42.37,0,0,0,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,71.43,0,0,0,0,20,13.89,69.44,0,0,0,0,0,0,0,19.23,0,0,0,0,5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.62,93.81,0,0,29.41,0,0,0,0,0,6.67,0,4.85,7.46,36.23,14.71,26.32,20,36.76,64.94,9.26,53.19,0,0,0,0,0,0,0,0,0,0,0,14.29,0,6.58,0,0,10.42,0,0,0,0,54.95,17.86,6.58,29.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.21,98.56,81.97,74.63,0,0,29.41,0,0,0,97.66,0,26.32,15.63,0,0,0,0,0,0,0,0,0,84.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,0,61.73,0,7.35,23.81,0,0,0,0,5.05,35.46,0,0,0,0,0,0,20.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,99.91,98.58,86.51,99.42,0,0,0,0,0,0,0,0,0,29.41,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.56,0,0,50,0,0,0,0,7.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.92,0,0,0,0,0,0,0,0,0,0,0,0,0,76.92,0,0,0,0,0,0,0,0,98.37,96.15,0,0,78.13,0,0,0,33.33,46.73,72.46,0,0,13.16,0,0,0,0,0,0,0,11.36,0,0,0,0,0,0,9.26,0,0,36.76,0
BMS-345541,25.65217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.35,56.18,38.46,0,0,0,0,0,0,42.37,0,20.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.73,0,0,0,0,0,0,0,0,0,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.42,0,44.64,10,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,22.73,79.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.86,0,0,0,13.16,0,0,0,0,6.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,65.79,0,0
Bosutinib,-40.86956522,17.86,99.98,99.99,99.7,0,0,0,0,0,0,0,0,0,0,42.02,11.36,0,19.23,7.81,0,0,0,0,0,90.58,58.82,99.34,0,0,46.3,71.43,0,0,0,0,99.05,0,47.62,0,10,0,0,12.2,0,0,39.06,37.59,0,0,0,0,0,0,0,0,0,29.41,0,0,0,0,0,0,14.29,80.65,17.24,45.45,22.73,62.5,13.51,56.82,93.98,64.1,16.13,67.57,81.97,0,0,0,0,0,7.94,0,0,0,0,0,8.47,80.65,78.13,42.74,84.6,0,0,0,0,0,0,93.46,44.25,17.86,96.53,98.85,96.53,94.88,31.25,0,98.23,93.81,98.35,70.42,98.19,14.29,16.67,99.85,95.06,0,0,0,0,17.86,0,0,46.73,58.14,60.24,0,0,0,0,98.76,0,18.52,0,99.72,97.85,99.74,64.94,0,9.26,22.73,0,0,99.32,49.02,20.83,13.51,79.37,97.09,9.09,0,0,0,0,90.42,0,0,45.45,0,58.14,22.73,0,0,31.25,29.41,0,0,0,54.35,0,0,99.88,0,0,0,98.62,50,14.29,99.17,51.02,0,10.2,0,94.34,90.25,81.97,99.38,98.99,98.39,99.9,0,0,0,0,0,0,58.82,96.34,98.06,16.13,16.13,98.39,27.78,0,81.97,18.52,99.36,8.62,0,0,0,15.63,0,15.63,0,0,72.46,7.35,57.47,56.82,93.11,0,0,50.51,0,0,7.46,17.86,0,0,0,43.48,23.81,0,0,0,0,0,0,25,18.52,0,0,0,0,0,17.86,20.83,8.06,0,0,0,17.24,0,0,8.93,71.43,0,0,0,23.81,26.32,59.52,27.78,0,0,0,0,0,0,0,0,0,0,13.16,0,0,0,0,0,58.82,14.71,13.51,8.33,21.74,34.25,0,0,23.81,17.24,0,0,35.46,0,0,9.8,0,0,0,0,0,56.18,88.65,0,9.43,18.52,0,23.81,0,11.9,0,56.82,36.5,58.14,0,0,0,0,0,0,0,29.41,13.51,0,15.63,0,43.1,0,0,0,94.34,94.52,99.07,69.44,0,99.8,83.33,0,0,11.36,0,93.11,99.6,46.73,11.9,63.29,83.33,27.78,20.83,59.52,66.67,13.51,0,0,0,14.71,11.36,46.73,19.23,94.16,0,94.52,74.63,13.89,29.41,12.82,0,9.8,0,87.41,7.14,10,89.13,29.41,52.63,52.08,0,41.32,49.5,84.18,21.74,0,0,99.21,35.71,96.9,86.21,23.81
